accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-1.761,-9.218,-7.948,0.0,-0.5,0.14,0.446,0.332,-2.122,-0.105,-0.1,0.0
-1.827,-9.043,-8.18,0.0,-0.262,0.0,-0.212,0.0,0.75,0.0,0.0,0.0
-2.1,-10.084,-7.388,0.0,-0.434,0.0,-0.141,0.0,0.69,0.0,0.0,0.0
-3.091,-12.662,-6.316,-0.852,-3.128,0.638,-0.227,0.0,0.86,0.0,0.0,0.0
3.482,-13.014,-5.011,0.0,-1.155,0.726,-0.287,0.0,0.919,0.0,0.0,0.0
1.762,-10.12,-7.251,3.873,4.375,1.543,-0.366,-0.53,0.128,0.0,-0.1,0.0
3.244,-8.235,-11.242,4.436,4.375,0.427,-0.195,-2.036,2.253,0.0,0.499,0.0
1.556,-6.949,-13.307,3.475,3.323,-1.785,-1.692,0.204,5.208,-0.233,1.544,1.229
0.0,-7.921,-12.139,0.733,1.15,-3.068,3.332,-0.557,2.802,0.0,-0.57,1.066
0.561,-14.336,-10.432,0.521,1.394,-4.373,1.253,0.13,0.44,0.891,4.362,1.379
-1.622,-19.298,-10.95,0.291,1.72,-4.373,2.348,1.167,-1.827,0.992,4.362,0.835
-5.561,-13.866,-10.744,-1.303,0.665,-4.016,1.278,1.843,-5.496,0.644,4.362,0.203
-5.124,-11.661,-8.373,-2.837,-0.529,-0.739,-1.889,1.363,0.343,0.0,2.508,-0.241
-2.317,-10.357,-7.069,-1.287,-0.183,0.74,8.58,-4.179,2.876,-0.628,-2.289,-0.528
-1.9,-9.07,-7.886,0.176,0.338,0.592,-0.168,2.444,-5.004,-0.178,0.38,-0.741
-2.906,-11.444,-7.906,0.415,-0.727,0.55,-1.459,0.235,-0.534,-0.197,0.765,-0.28
-4.237,-12.28,-7.426,0.391,-2.168,1.557,-0.816,0.496,-1.373,0.0,0.82,0.0
0.0,-14.018,-6.94,1.667,-0.407,3.283,0.189,0.541,-1.333,0.0,0.486,-0.159
0.341,-14.338,-8.742,2.852,1.444,3.069,-0.129,0.445,-1.383,0.147,0.495,-0.305
1.249,-12.349,-9.363,1.377,1.514,2.297,1.031,0.323,-0.997,0.2,0.301,-0.532
0.509,-8.491,-8.999,0.755,2.371,0.555,1.163,0.384,-1.33,0.248,0.396,-0.836
-2.283,-5.698,-8.529,-0.189,1.091,0.588,2.003,-1.34,0.0,0.58,0.907,-1.141
3.165,-9.495,-7.129,0.895,0.191,-0.143,3.661,-1.707,-0.947,0.705,1.381,-1.129
0.816,-8.272,-9.575,1.242,1.128,-2.946,0.603,-2.252,-2.217,0.532,2.569,-1.596
0.615,-9.127,-8.795,-0.867,-0.845,2.384,3.244,-3.045,2.97,1.142,1.663,-1.911
2.029,-7.643,-9.078,-0.554,-2.463,0.0,-1.101,5.523,1.026,-0.309,0.415,-0.435
-1.619,-4.088,-7.893,-2.181,-2.71,-1.209,-3.079,3.852,5.284,-0.872,0.179,1.778
-2.268,-11.511,-5.179,-1.305,0.119,-2.315,2.842,-2.523,-0.65,1.367,0.389,-1.426
-5.906,-10.742,-8.3,-0.82,1.479,-3.367,0.354,-6.586,-1.842,2.025,0.344,-1.847
-6.989,-10.453,-5.512,-1.866,-1.099,-1.501,-1.609,3.896,1.986,1.983,-2.206,-1.469
-3.09,-12.11,-5.861,0.178,-0.297,-0.499,-2.795,8.094,0.606,1.463,-1.562,0.939
-1.542,-7.556,-8.533,0.4,-1.261,0.779,-2.447,8.1,-3.098,0.0,-4.004,3.306
-0.414,-9.276,-9.791,0.0,0.246,-0.132,2.254,-9.846,-6.269,-0.708,-4.369,3.689
-0.759,-9.977,-8.64,-0.381,-0.458,0.246,3.261,4.899,-11.528,-0.239,4.362,0.569
-0.27,-9.155,-8.754,0.0,-0.766,0.129,-4.792,-0.255,5.666,-0.411,-0.496,0.0
-1.172,-9.821,-8.329,-0.154,-0.581,-0.175,-1.101,0.263,-0.604,-0.325,-0.33,0.0
-1.297,-8.851,-10.078,-0.302,-1.098,-0.209,-0.525,0.0,0.57,-0.157,-0.103,0.0
-1.529,-9.197,-8.751,-0.66,-2.039,-0.278,0.0,0.324,-0.715,0.0,0.107,0.0
-1.238,-9.392,-9.357,0.205,-2.98,0.0,-0.196,0.331,-0.122,0.132,0.292,0.0
-0.993,-10.853,-9.748,0.582,-0.412,0.0,-0.253,0.785,-0.851,0.0,-0.121,0.434
-2.217,-10.293,-10.932,0.816,-1.248,0.151,-1.7,0.0,0.0,0.0,0.0,0.316
-1.864,-9.991,-10.702,0.133,-1.938,0.396,-0.793,-0.141,0.538,0.0,-0.59,-0.261
-3.663,-9.761,-10.428,0.556,-3.218,-0.219,-1.451,-0.199,0.243,0.406,-0.728,-0.454
-4.853,-12.707,-7.938,0.536,-3.993,0.877,0.118,-0.15,-0.504,0.96,-0.346,-0.348
-2.4,-13.629,-11.143,2.146,-2.285,3.332,0.0,-3.204,-1.494,1.633,-0.505,-0.429
0.0,-12.477,-10.142,0.233,1.213,4.357,-2.479,-4.713,0.0,2.507,-2.109,-0.741
0.964,-9.857,-8.063,-1.028,0.679,3.384,4.809,-1.788,-0.244,2.584,-3.677,-0.645
3.73,-6.183,-7.799,-0.306,-0.429,1.051,3.865,3.955,-4.348,0.987,-4.307,-0.459
3.536,-6.454,-7.645,-0.577,-0.448,-1.263,1.395,4.563,-1.532,0.0,-2.327,1.243
2.956,-9.038,-8.568,1.576,-0.289,0.998,-2.287,8.665,4.742,-2.531,-0.743,0.768
0.0,-5.622,-9.689,0.369,0.289,-1.191,2.993,3.864,5.149,-3.126,-1.356,2.726
-0.948,-8.254,-7.887,-0.12,-0.289,-2.257,5.364,-5.475,6.546,-2.634,-0.394,2.877
-2.585,-10.837,-8.203,-0.316,-0.384,-2.935,-9.847,-0.616,-1.937,0.248,2.222,0.687
-3.411,-11.741,-8.183,-1.437,-1.377,-3.211,2.196,2.342,-4.007,0.182,0.182,0.0
-1.419,-12.22,-3.616,-1.673,4.375,-1.297,0.252,0.0,0.407,0.0,-0.267,0.172
-4.397,-11.048,-7.568,-0.437,1.972,0.642,-0.332,0.0,-0.304,0.0,0.0,0.258
2.17,-9.203,-8.05,0.359,-2.0,0.249,0.135,0.657,-1.478,0.0,0.11,0.0
1.554,-8.973,-10.358,-0.22,0.235,-0.551,0.0,0.191,-0.571,0.0,0.0,0.0
0.0,-9.595,-9.942,-0.349,0.828,-0.112,0.0,0.233,-0.627,0.0,0.0,0.0
-0.132,-9.724,-7.202,0.0,0.0,0.0,0.276,0.287,-0.922,0.0,0.0,0.0
