accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-3.557,-6.252,-8.246,-0.158,0.644,-0.283,-1.948,-0.295,-11.774,-2.439,0.488,2.817
-5.473,-11.193,-7.844,-0.259,1.578,-0.417,3.065,-13.235,-2.559,-2.426,-2.452,3.693
-20.381,-19.298,-10.834,-0.755,4.375,2.492,8.015,-19.369,-7.69,2.233,4.379,-1.009
-20.381,-19.298,-18.164,-4.294,3.218,4.357,4.358,-9.184,-11.917,-0.199,0.847,-0.312
-15.123,-19.298,-24.528,-4.294,-2.385,4.357,-1.842,-8.887,-12.663,0.0,-0.459,0.358
4.092,-19.298,-18.554,-3.809,-4.355,4.357,-1.326,-9.522,-11.966,-0.311,0.557,0.645
18.844,-19.298,-23.326,2.982,-4.355,4.357,-2.312,-9.158,-14.254,0.0,1.102,0.277
18.729,-19.298,-18.904,2.794,0.974,-4.373,-2.304,-9.14,-12.565,0.14,0.0,-0.229
-4.507,-19.298,-30.895,-1.065,-3.027,-4.373,-1.566,-9.202,-13.333,0.301,-0.287,-0.252
-20.381,-19.298,-30.895,-4.294,-4.355,-4.373,-1.059,-9.372,-12.529,0.315,-0.624,-0.343
-10.034,-19.298,-6.938,-4.294,-4.355,1.884,-1.328,-9.485,-12.057,0.216,-0.711,-0.275
18.844,-19.298,8.33,-4.294,-4.355,4.357,-1.094,-9.546,-11.866,0.0,-0.301,-0.252
18.844,-19.298,-4.219,-1.37,1.549,-4.373,-1.01,-9.469,-12.456,0.0,0.0,-0.116
10.131,-19.298,-13.155,-0.373,4.342,-4.373,-0.869,-9.546,-11.868,0.0,0.157,0.0
0.211,-9.24,-9.141,0.0,-0.16,0.0,0.379,-9.435,-12.159,0.0,0.0,0.0
0.541,-9.5,-8.957,0.0,0.0,0.0,0.338,-9.411,-12.134,0.0,0.0,0.0
0.0,-9.321,-9.016,0.0,0.0,0.0,0.371,-9.43,-12.131,0.0,0.0,0.0
0.121,-9.455,-9.001,0.0,-0.203,0.0,0.331,-9.451,-12.092,0.0,0.0,0.0
0.34,-9.345,-9.062,0.0,-0.133,0.0,0.227,-9.419,-12.161,0.0,0.0,0.0
0.144,-9.506,-9.272,0.0,-0.229,0.0,0.338,-9.441,-12.14,0.0,0.0,0.0
-0.131,-9.578,-9.423,0.0,-0.101,0.0,0.316,-9.432,-12.072,0.0,0.0,0.0
-1.19,-9.618,-9.218,-0.219,0.0,0.243,0.244,-9.836,-12.779,0.236,0.0,0.0
-0.744,-9.214,-8.703,-0.3,0.151,0.366,-1.961,-11.483,-14.653,1.433,-0.345,-1.425
-1.285,-8.984,-8.781,-0.143,0.227,0.363,-6.776,-17.012,-19.944,1.685,1.171,-2.234
-2.525,-8.35,-9.492,0.0,1.174,0.0,-11.724,2.774,-11.891,-1.252,-0.339,0.332
-7.762,-10.041,-11.43,-0.618,4.375,0.436,-6.753,-4.755,-4.255,-2.215,-0.3,3.15
-20.237,-19.298,-25.74,-3.428,4.375,1.223,11.477,-17.841,-9.16,-1.23,-4.351,2.784
-8.483,-19.298,-26.981,-4.294,-1.815,4.357,-20.428,-1.939,-12.814,0.818,4.379,-0.471
-14.722,-19.298,-19.926,-4.294,-4.355,4.357,0.548,-7.27,-12.954,-0.247,0.59,0.0
16.082,-19.298,-21.688,-0.239,-4.355,4.357,-2.475,-9.515,-11.754,-0.26,0.109,0.355
18.844,-19.298,-17.488,2.015,-4.355,4.357,-2.549,-9.217,-13.777,0.0,0.913,0.305
18.844,-19.298,-7.293,-2.635,-3.762,-4.373,-2.188,-9.272,-12.142,0.148,0.318,-0.167
-14.012,-19.298,-30.895,1.763,0.197,-4.373,-1.177,-9.274,-13.53,0.16,-0.561,-0.29
-17.503,-19.298,-30.895,-4.294,-1.056,-4.373,-1.206,-9.474,-11.989,0.201,-0.709,-0.27
-19.904,-19.298,-22.995,-4.294,-4.355,0.574,-1.629,-9.415,-12.017,0.112,-0.416,-0.164
18.844,-19.298,3.398,-4.294,-4.355,4.357,-1.56,-9.33,-12.322,0.131,-0.491,-0.287
18.844,-19.298,-6.085,-1.671,-0.588,-2.872,-1.471,-9.679,-12.317,0.163,-0.295,-0.271
