accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
0.7,-10.33,-8.829,1.091,2.765,1.05
-0.808,-10.328,-9.351,0.678,3.808,0.788
1.34,-10.104,-7.566,0.931,4.376,1.333
4.306,-8.299,-9.451,2.233,4.376,0.72
7.811,-8.923,-7.533,3.293,4.376,0.424
13.175,-19.568,-12.438,4.441,4.376,-1.687
6.383,-19.568,-28.699,4.441,4.376,0.22
-2.674,-10.636,-19.2,-1.002,1.297,1.051
-4.736,-13.66,-13.879,-1.812,2.237,1.047
-6.253,-15.498,-17.289,-1.421,1.796,2.331
-6.779,-15.721,-20.204,-3.434,1.763,1.437
-9.478,-14.994,-19.528,-4.289,2.939,0.625
-9.271,-15.141,-17.63,-1.447,4.376,-1.183
-10.429,-16.288,-24.191,-1.235,4.376,-3.754
-2.422,-12.973,-17.36,-2.71,1.363,-4.373
6.034,-19.568,-14.691,-3.524,-2.219,-4.373
1.175,-19.568,4.063,-4.289,-4.354,-4.373
11.35,-19.568,-0.126,-4.289,-4.354,1.96
4.112,-19.568,8.186,-4.289,-3.168,3.493
7.85,-19.568,8.186,-2.784,1.778,1.307
1.972,-15.333,4.945,-0.973,-0.412,0.736
-2.396,-9.547,-8.368,0.205,-0.138,0.0
-2.37,-9.588,-8.265,0.249,0.0,0.0
-2.392,-9.609,-7.997,0.194,0.0,-0.14
-2.022,-9.573,-7.457,0.0,-0.463,-0.357
-1.283,-9.757,-7.493,-0.394,-0.997,-0.652
-1.098,-11.297,-6.111,-0.599,-0.644,0.337
2.889,-13.757,-6.828,1.255,3.605,1.694
3.655,-12.013,-10.506,2.242,4.376,2.848
5.653,-8.052,-10.123,2.222,4.376,2.307
9.261,-6.547,-10.616,3.514,4.376,2.294
6.253,-19.568,-4.283,4.441,4.376,4.357
10.373,-19.568,-24.629,4.441,4.376,2.766
-1.236,-11.093,-21.27,0.692,2.415,0.908
-3.084,-12.215,-16.993,-1.054,2.207,0.398
-3.535,-14.278,-19.828,-1.492,1.034,1.262
-8.231,-19.568,-25.28,-4.289,0.364,1.521
-6.886,-19.568,-23.136,-4.289,4.376,-1.322
