accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-1.809,2.615,-1.241,-0.284,0.691,0.748,-0.425,-2.335,-1.976,2.133,1.101,-2.606
-0.787,3.888,-4.892,0.435,0.0,0.0,-3.502,2.305,-1.416,1.634,1.02,-1.989
-3.9,4.384,-2.432,-0.504,-0.544,-0.144,-3.651,6.584,-0.495,0.614,-0.316,-0.711
-2.746,3.393,-0.858,-0.286,-0.154,-0.171,-2.672,6.858,-1.466,-0.892,-0.837,0.963
-5.992,1.679,-2.249,0.0,0.762,0.159,-1.98,1.203,-1.961,-2.552,-0.46,3.12
-7.382,-2.658,-3.368,-0.445,0.0,1.423,0.0,-9.846,-4.265,-4.309,-0.53,4.378
-2.187,-4.373,-6.267,-1.437,1.323,0.966,7.189,-9.846,5.305,-3.736,-0.187,3.803
-3.807,-2.16,-7.829,-2.085,2.29,-1.625,9.541,-7.021,14.404,-1.323,-0.41,0.361
-7.684,-1.917,-7.93,-3.461,2.496,-4.373,6.767,-5.827,10.706,0.312,-2.338,-1.436
-10.976,-9.286,-2.674,-4.095,1.228,-4.373,0.491,1.107,0.587,0.394,-0.75,-0.655
-2.084,-9.426,-8.671,0.0,0.0,-0.111,0.837,0.131,0.0,0.0,0.0,0.0
-2.216,-9.294,-8.837,0.0,0.0,0.0,0.819,0.15,0.0,0.0,0.0,0.0
-1.828,-9.328,-8.892,0.0,0.0,0.0,0.781,0.12,0.0,0.0,0.0,0.0
-1.827,-9.282,-8.974,0.0,0.0,0.0,0.822,0.0,0.169,0.0,0.0,0.0
-1.661,-9.527,-9.031,0.0,-0.145,0.0,0.852,0.101,0.0,0.0,0.134,0.0
-2.648,-9.397,-8.653,0.0,-0.937,-0.23,0.763,0.0,0.0,0.0,0.145,0.0
-2.288,-10.361,-8.333,0.101,-0.969,0.0,0.57,0.0,0.252,0.153,0.185,0.0
-4.55,-10.156,-6.535,-0.217,-1.232,-0.3,0.688,-0.111,0.405,0.198,0.143,-0.102
-8.864,-12.632,-3.91,0.757,-2.117,1.045,0.496,-0.411,-0.212,0.204,0.235,-0.171
-10.41,-13.105,-1.5,1.407,-0.694,1.325,1.187,-0.946,5.118,-0.197,0.0,0.185
-9.426,-14.127,1.172,2.908,-2.786,2.345,1.788,-0.513,7.487,-0.394,-1.038,1.634
-5.068,-16.473,-2.532,3.85,-2.016,2.637,18.907,-5.949,6.095,1.301,0.661,-1.082
-1.014,-12.639,-3.856,4.436,-1.254,2.398,4.037,-8.376,3.315,2.204,1.696,-2.266
2.428,-7.198,-10.4,4.154,0.428,1.014,3.642,-6.187,0.587,2.135,0.264,-2.854
2.386,-3.867,-11.381,2.776,2.081,0.369,2.732,-3.849,0.296,2.041,2.034,-2.245
-0.544,3.807,-9.627,0.413,0.169,0.0,-1.968,-0.392,-0.582,1.827,1.584,-2.04
-0.467,4.366,-3.253,-0.6,-1.133,0.202,-5.321,4.951,-0.487,1.068,-0.233,-1.256
-2.008,4.251,-2.097,-0.601,0.341,-0.466,-2.541,6.552,-0.783,-0.156,-1.417,0.295
-4.778,2.051,-2.677,-1.031,-0.759,0.0,-2.625,3.116,-1.707,-1.354,-1.026,1.797
-2.325,-4.289,-7.3,-1.863,-0.949,0.668,-0.367,-2.602,-2.897,-2.18,0.158,2.748
0.0,-7.751,-8.088,-3.242,0.17,1.711,0.0,-9.592,-1.676,-3.433,1.309,3.301
-0.554,-6.409,-6.788,-4.294,1.593,0.196,2.354,-9.846,10.097,-3.392,-0.274,2.768
-3.018,-8.668,-1.314,-4.231,2.324,-2.513,13.279,-5.384,9.911,-1.147,-3.518,0.0
-6.279,-11.347,-4.231,-2.429,4.375,-2.6,5.313,0.0,2.363,0.0,-2.123,-1.173
-7.78,-18.063,-2.1,-1.733,3.065,-3.193,-1.631,-0.678,4.428,0.313,0.279,-0.621
-1.893,-9.43,-8.785,0.0,-0.143,0.0,0.624,0.136,0.0,0.0,0.0,0.0
-1.566,-9.377,-9.35,0.0,0.0,0.128,0.722,0.116,0.12,0.0,0.0,0.0
-1.874,-9.177,-8.628,-0.142,-0.37,0.0,0.694,0.125,0.148,0.0,0.0,0.0
-1.689,-9.386,-8.957,0.107,-0.282,0.0,0.649,0.107,0.164,0.0,0.0,0.0
-2.678,-9.676,-8.907,0.0,-0.508,-0.306,0.543,0.111,0.12,0.0,0.0,0.0
-9.882,-12.074,-6.631,-0.977,0.635,-0.435,0.514,0.0,0.257,0.114,0.134,0.0
-20.381,-19.298,-3.8,-1.095,-1.791,1.535,0.605,0.0,0.496,0.101,0.241,0.0
