accX1_median,accX1_iqr,accX1_var,accX1_skew,accX1_kurtosis,accX1_rms,accY1_median,accY1_iqr,accY1_var,accY1_skew,accY1_kurtosis,accY1_rms,accZ1_median,accZ1_iqr,accZ1_var,accZ1_skew,accZ1_kurtosis,accZ1_rms,gyroX1_median,gyroX1_iqr,gyroX1_var,gyroX1_skew,gyroX1_kurtosis,gyroX1_rms,gyroY1_median,gyroY1_iqr,gyroY1_var,gyroY1_skew,gyroY1_kurtosis,gyroY1_rms,gyroZ1_median,gyroZ1_iqr,gyroZ1_var,gyroZ1_skew,gyroZ1_kurtosis,gyroZ1_rms,class
-1.384,6.043,26.78772761,1.046497246,1.851733009,5.073580633,-12.937,8.202,21.51175389,0.022048267,-1.101381062,14.15592994,-8.839,12.196,104.9534708,0.198721259,-0.691084392,14.99409386,-0.274,4.192,7.031718027,0.1640364,-0.864078362,2.723853337,1,3.949,7.22812684,-0.422228039,-0.563272932,2.863759627,0,1.891,7.46422434,-0.088314665,-0.680481957,2.68144156,1
0.941,7.279,77.11693933,0.275807321,-0.503491188,8.703365519,-13.047,7.239,14.22454846,-0.376654721,-1.368709677,14.68913524,-12.673,11.089,77.67342098,0.522442959,0.242272991,14.76182748,-0.842,4.405,9.478768957,0.384964423,-1.083884465,3.050227211,2.867,5.361,10.99436409,-0.52557643,-1.268588228,3.475432226,0.233,2.33,5.35077284,-0.839447374,-0.524423658,2.269636032,1
-1.652,5.144,34.35900958,0.456081477,0.716366909,5.752607736,-12.639,8.267,15.15179239,-0.360089493,-1.461690833,14.2563003,-9.339,8.559,46.92457083,-0.92456299,0.24220255,14.33800946,0,3.725,6.409519407,0.210635735,-0.725730465,2.511748268,2.176,4.532,5.194563923,-0.246479744,-1.348185324,2.918179062,0,2.297,5.630890723,-0.727880967,-0.273799327,2.338001249,1
-0.59,7.434,50.93516617,0.909985942,0.828884345,7.067335908,-13.484,9.688,19.07737792,-0.061767905,-1.691479644,14.92337275,-12.95,10.374,40.71882467,-0.394394413,-0.438753928,14.36299622,0.28,4.118,7.765680273,-0.074115159,-1.010020764,2.737331642,1.435,4.584,7.54206104,-0.478521141,-0.843442575,3.058492812,0,3.251,6.280165277,-0.136309237,-0.48336328,2.521166389,1
-0.979,10.178,50.87742556,0.211142682,-0.99609202,6.989607574,-16.899,6.665,12.14622158,0.244884759,-1.567400882,16.32434155,-10.101,8.599,65.61495358,0.366099041,0.268658585,13.15825135,-0.405,4.988,10.77168076,0.385957911,-1.242841581,3.316286508,1.697,3.872,7.84226775,-0.664467051,-0.607553729,2.938441696,0.12,5.399,8.427601,-0.229146818,-1.233009202,2.858364343,1
-1.746,5.189,45.33204208,0.220944777,0.900201311,6.714071894,-13.568,9.363,18.62590175,-0.245938424,-1.3990688,14.3667933,-8.794,8.93,58.75165678,0.410474589,0.418091309,12.91433885,-0.448,4.968,8.71263875,0.405624831,-1.0088577,3.038483905,1.691,2.382,5.836960593,-0.632418632,-0.164962742,2.736773553,0.432,1.645,3.088004333,-0.898202311,0.905169079,1.722792071,1
-0.638,9.352,50.53135582,0.508945526,0.430671468,6.982179402,-13.753,6.515,17.10197526,0.240891577,-0.583625105,14.57978895,-11.005,10.475,67.25669559,-0.049831283,0.203368388,14.31041661,0,3.894,9.60377921,0.330517571,-1.131776588,3.057149777,2.39,3.952,7.25958876,-0.829020809,-0.280528384,3.084083605,0.197,2.69,5.754985333,-0.220916452,-0.348307932,2.350670177,1
-0.298,6.63,36.07313737,0.511173798,-0.263209118,5.929977349,-14.57,5.392,11.42841058,-0.04313864,-1.241383361,15.35666947,-9.802,14.968,89.23704814,-0.165713812,-0.956721136,14.95314744,-0.163,4.084,7.679788427,0.344845523,-0.996284228,2.724764951,2.046,4.056,7.240952827,-0.940177307,0.008405704,3.243352198,0.794,3.531,8.474981417,-0.520795254,-0.917508969,2.892337256,1
-1.548,9.643,60.8948925,0.442248595,-0.407156578,7.665055619,-13.079,6.956,14.28521979,-0.405271587,-1.300044916,14.3336781,-9.904,8.064,60.71912501,0.415492645,1.080976503,13.37718808,-0.521,5.57,9.270214677,0.34381558,-1.092964565,3.018823254,1.831,4.009,8.218815107,-0.618311416,-0.766410785,3.173465393,0,2.214,3.421615677,-0.672104925,-0.464854679,1.903995788,1
-1.538,5.746,38.29402996,-0.071031988,-0.579330967,6.128930987,-11.928,5.102,11.64971716,-0.65429852,-0.654161418,12.99793721,-9.056,9.525,45.17372533,-0.967082384,0.156692412,14.45660335,0,3.175,5.843078943,0.18833471,-0.891264156,2.400936742,3.177,4.806,7.5037745,-0.641338912,-0.917814767,3.260909002,0.113,1.448,3.459207457,-0.887225993,0.168409249,1.831578674,1
