accX1_median,accX1_iqr,accX1_var,accX1_skew,accX1_kurtosis,accX1_rms,accY1_median,accY1_iqr,accY1_var,accY1_skew,accY1_kurtosis,accY1_rms,accZ1_median,accZ1_iqr,accZ1_var,accZ1_skew,accZ1_kurtosis,accZ1_rms,gyroX1_median,gyroX1_iqr,gyroX1_var,gyroX1_skew,gyroX1_kurtosis,gyroX1_rms,gyroY1_median,gyroY1_iqr,gyroY1_var,gyroY1_skew,gyroY1_kurtosis,gyroY1_rms,gyroZ1_median,gyroZ1_iqr,gyroZ1_var,gyroZ1_skew,gyroZ1_kurtosis,gyroZ1_rms,accX2_median,accX2_iqr,accX2_var,accX2_skew,accX2_kurtosis,accX2_rms,accY2_median,accY2_iqr,accY2_var,accY2_skew,accY2_kurtosis,accY2_rms,accZ2_median,accZ2_iqr,accZ2_var,accZ2_skew,accZ2_kurtosis,accZ2_rms,gyroX2_median,gyroX2_iqr,gyroX2_var,gyroX2_skew,gyroX2_kurtosis,gyroX2_rms,gyroY2_median,gyroY2_iqr,gyroY2_var,gyroY2_skew,gyroY2_kurtosis,gyroY2_rms,gyroZ2_median,gyroZ2_iqr,gyroZ2_var,gyroZ2_skew,gyroZ2_kurtosis,gyroZ2_rms,class
-1.893,4.4,25.16613071,-1.786881766284003,3.0370603608500693,6.123612878032053,-7.818,8.324,64.05069730999999,0.17637704031616494,-0.9671213360573048,10.26071917557439,-6.564,4.985,9.828396026666667,0.24994829079655703,-0.6728938333795949,6.8629076986361985,-0.329,2.2359999999999998,5.640366439999998,0.19528158327044112,-0.3091878237653578,2.330066402487277,-0.162,0.978,3.5569097733333326,0.880219582947055,0.40180904171034104,1.8478787947265374,0.128,1.125,3.8176721933333333,-0.11296447647447494,0.43358674712211487,1.9313341295591502,0.694,3.0170000000000003,28.003189156666668,2.0051453899928404,3.225988302088372,5.823594790161829,0.0,4.836,16.306917000000002,-0.6184619540749583,-0.459820906866121,4.286318032997551,0.325,3.036,12.05410124,1.5089985175119565,1.8413776898107201,3.8410036240545256,0.0,0.9690000000000001,2.7234331666666667,-1.1567260168566897,1.4983927271701374,1.6169925293581293,0.0,0.641,0.64029975,-0.4285436387431091,0.8287786296949635,0.7840259944670201,0.0,1.3559999999999999,3.0663612933333337,0.9991387039841766,0.9149347077092287,1.7164729418199403,4
-0.956,1.995,46.82066839333333,-1.3675656998788004,2.114362480891419,7.0902445120038,-8.176,12.420000000000002,104.17313576,0.45965653003414286,-0.6326807580410092,11.02034145569002,-6.37,3.1639999999999997,17.455651206666666,1.2225375117382424,4.084848480235689,7.162194099575911,0.0,0.6739999999999999,1.1667981666666665,-0.32721301294464744,2.5278225824255944,1.0585529179025488,-0.127,2.2439999999999998,3.482808916666668,-0.23250586673189544,-0.45565225072612314,1.84959539359288,0.0,1.376,3.1747677100000007,0.7686761461883768,0.10982169577138556,1.8796796961184636,0.574,3.552,15.044286776666665,2.5665419524391377,7.715759946545294,4.57608217583557,0.179,8.914,29.339099359999995,0.20475154494652037,-1.2620505665345314,6.263147224838324,2.341,5.76,16.580496856666667,0.7950094001267745,-0.7141093696840524,5.279839096033136,0.0,0.865,1.88796049,0.7415769988236786,0.9421568009433194,1.3800251302059685,0.0,0.521,0.8814749433333334,-0.42078207037951154,0.8465725307126104,0.9213617530590251,0.0,0.776,4.428025166666667,-0.17509321676563472,0.42388003887173387,2.1021037557646864,4
-1.809,1.089,11.849395656666667,-1.6669872346438777,1.673629842736772,4.460726694160941,-9.184,9.364,55.49620783333335,0.19123136156109874,-0.8822599877787969,9.35383235257079,-7.323,5.675999999999999,12.990194743333333,0.535812540850474,-0.8065994657832913,7.000106427762367,0.0,1.1560000000000001,4.328274243333333,0.46597129829289824,0.43741109757408214,2.068599429565811,0.0,1.283,2.607758776666667,0.6986571626610516,0.5472665916691981,1.6012568438573496,0.118,0.519,1.3923274733333333,0.8768881250410929,-0.09917553268186197,1.2911527407708199,0.484,1.489,11.989890166666667,1.7135170113388256,2.1629971415674287,3.706500953729811,-0.199,2.728,12.767358416666667,-0.34914060705149436,0.15227469055119647,3.65651625457894,0.227,1.677,3.5311699566666674,0.869093646117004,-0.5609570593866899,2.1488778001552347,0.0,0.546,1.6958562266666666,-0.40550866529758,0.1806625754376885,1.278007965546381,0.0,0.557,0.9912021733333333,0.1880515254429387,0.08366169039427662,0.9755571946328928,0.0,0.456,2.2731244233333334,0.1969524257401669,-0.22212567275962636,1.4772270103135807,4
-2.269,6.755999999999999,23.743545623333336,-0.6313094177087957,-0.9239939213499757,6.775712741844949,-9.273,4.988999999999999,40.09201576000001,0.2589439102879577,-0.4343853506348485,9.897234912843082,-6.783,4.53,8.60350381,0.22621215656065383,-1.136783968372998,7.24689691109236,0.0,1.254,5.002841956666666,0.5123820275312888,0.01217402281461144,2.1971981339879205,-0.196,1.8639999999999999,2.964766693333333,0.48585798797257235,0.24584068670678638,1.6872598495786,0.0,1.423,4.019259943333332,-0.5659409358869801,0.2898734206528988,1.9677330611645474,0.767,0.5880000000000001,29.808658426666664,1.4991499189922834,2.0417193659959905,5.772228131319828,-0.393,4.6610000000000005,15.192926409999998,-0.40262475485188515,-0.2306221845528933,4.142193708652457,0.127,4.424,14.940962776666668,1.1789788902310936,0.19528042892173847,4.176283836139493,0.0,0.319,1.9244332099999995,-0.31940043247321637,0.27982391421431707,1.3597347829632072,0.0,0.213,0.7969626233333332,-0.9124919823541248,1.8804947623774178,0.8753146634211036,0.0,1.112,2.370800556666667,-0.11594994879254442,-0.38202334033599517,1.508653412815548,4
-1.874,5.368,17.924992276666668,-0.7546032480472583,-0.45754191728949856,5.095525857063233,-9.295,7.620999999999999,40.237758393333344,0.08859088997738832,-0.5888375527824694,10.173795651574688,-7.206,6.221,13.299407190000004,0.005425480573140588,-1.252248968465659,7.266039017236282,0.0,1.038,5.248165293333332,0.5543399617740961,-0.13313050064727205,2.2455511929145593,-0.267,1.359,4.059754410000001,0.8299327241395128,0.07131363844124383,1.9741902036024797,0.0,1.173,2.1542992233333336,0.30658809920186053,-0.23244723330584804,1.4690892689009747,1.062,1.439,22.068278473333333,2.0997568091376957,5.280218337141967,4.97868898405996,0.0,3.025,19.620764406666666,-0.6213827742143561,-0.4340156295448634,4.5169167050101775,0.199,3.428,19.332781500000003,2.0640687332007928,4.513930905332828,4.614599081177042,0.0,0.867,2.073622166666667,-0.3293042920525325,0.6548218733562643,1.411480527672982,0.0,0.614,1.595122326666667,-1.220360886311824,1.890430298308468,1.237961243335186,0.0,1.001,2.269275833333333,0.22902677108862413,-0.013502258657315025,1.4760033197794644,4
-1.95,2.2249999999999996,16.66325457666667,-1.4796747371367662,1.2118219170204787,5.395163207911323,-9.279,4.555,36.21365616666666,0.4765860921376325,-0.4838068531119162,9.380190354145272,-9.072,3.3049999999999997,5.161915726666669,0.5870890303749214,-1.0116574080454157,8.039652243722983,0.0,0.89,3.682161273333333,0.04624830472363475,0.2627890444386143,1.8821492076878494,-0.167,0.572,4.359842960000001,0.047882725875845605,0.19162615583953313,2.045837178272015,0.0,1.103,2.3145888766666665,0.9550988376234238,1.0779665375359597,1.6153135051747693,0.73,2.238,24.615778806666665,1.8294018385395703,2.722034254559852,5.472396261236937,0.0,1.936,18.139652393333332,-0.6698149674806295,-0.2479629839231028,4.399908930875728,0.0,2.025,13.267828573333333,1.8183825532448823,2.119378718736905,3.840793959587002,0.0,0.608,2.7149286666666668,-0.19227806138360148,0.6160984494992676,1.616210988701661,0.188,0.542,0.7895808333333331,-0.40022673553257027,1.3071838040501316,0.8862397869651305,0.0,0.535,3.7132908233333333,0.29288633053287577,0.6174491299507694,1.8891292279778005,4
-1.793,3.037,30.829783206666672,-1.6635667323337766,1.7593046024683163,6.574781459485934,-9.263,5.074000000000001,37.165219490000005,0.09061171177802149,-0.052880820993376876,9.758906500218147,-7.643,5.231,13.96387401,0.5102026620062493,-0.3214643536927144,7.451990936655788,0.0,0.825,4.313082876666667,0.47711137385337643,0.24738086233519052,2.035457599656647,-0.264,1.613,3.6777522499999997,0.5305561665651507,0.2182403654647196,1.8907878781079595,0.0,0.752,2.7805180000000003,0.04664351327018495,1.799816122544108,1.664995471465313,0.448,1.8059999999999998,22.511456249999995,0.9999886867139169,1.624567183042279,4.888903513058935,-0.277,5.753,18.86399224,-0.07449486019285677,-0.07519466804699615,4.648808535528216,-0.304,2.5810000000000004,12.277587089999999,1.5135759037970333,1.9497905793024408,3.5596223114257497,0.0,0.293,2.3404893433333336,-0.1942783073720332,0.23148066051938976,1.499587863381136,0.0,0.396,1.1637695833333332,-1.60302126471863,2.5307456909574286,1.0685234485026522,0.0,1.556,2.703970073333334,0.0879728576203267,-0.03136918728141547,1.6117627244728054,4
-2.092,1.8550000000000002,14.82541142333333,-1.3607279824822143,1.8950781509999803,4.734396683844732,-9.293,10.325000000000001,51.43687032666667,-0.04471778331523283,-1.0544505630911933,9.521501589560335,-8.023,6.836,15.456523976666661,0.4266861024925335,-1.262306933926295,7.3994150849915155,0.0,0.391,3.0531719099999997,1.3645331087235428,0.835882745954291,1.7618648075263892,-0.204,0.652,1.0174891766666667,1.0226785554060345,4.373674011708266,1.0292994510831142,0.12,0.948,1.0462863266666667,1.5758499485624944,1.4044625226204497,1.1564045831801255,0.851,1.9600000000000002,25.355933609999997,2.1176097762699273,3.8134752547704958,5.56533370787413,0.0,3.2159999999999997,21.231251223333334,-0.45798730152040396,-0.45012213723668415,4.769699122586245,0.0,1.347,8.891213206666666,1.6080358449724743,1.6978238074173673,3.146749459362788,0.0,0.27,3.07790636,-0.5341162503397557,0.5120147371572368,1.7194184249332682,0.0,0.757,1.1950424733333334,-0.12779110768816718,1.7045408996143188,1.0722208168096719,0.0,0.928,3.2283722499999996,0.5564320666288437,0.3146035168270984,1.761400613148525,4
-2.542,3.884,21.000037910000007,-1.8587229883409415,4.484330431327877,6.075527180418174,-7.293,9.103,46.82836772333334,-0.1859911144058807,-0.8225495991470835,9.041551189923108,-8.676,4.524000000000001,12.264339893333329,0.5815071316506552,0.39546984507058447,8.567785172376816,0.0,1.771,3.9977975099999994,0.4915979207267698,0.25562368968417504,1.9688803925073763,-0.16,0.646,3.56465639,-0.09718113208057438,0.5638413407015284,1.8520640809648028,0.0,1.045,2.8234661266666676,0.8607683810284191,0.24341369502171695,1.704594978286631,0.634,2.263,20.883315956666667,1.269746040459178,0.5888948747003884,5.040997325926686,-0.122,6.059,21.54603274,-0.24270623187499096,-0.6150881897729237,4.833411370864267,0.0,2.9450000000000003,8.507814609999999,1.062917513645179,-0.12987245473234177,3.12246122794183,0.0,0.736,2.9548255833333332,-0.5616497316144878,0.6158950773840166,1.6843469357587824,0.0,0.78,0.9320685566666665,-0.016098355392221417,1.3483631435569698,0.9518696129197528,0.0,1.3860000000000001,3.836516666666667,0.5117345320131249,0.30241155577821077,1.9193160865266563,4
-2.052,2.3049999999999997,8.767960583333332,-1.159986243511826,1.3938199977361148,3.9383932916863444,-6.579,12.413,57.61915236000001,0.0362026058450923,-1.071593687222632,8.800584189700137,-6.005,7.449,23.16005614,0.6637640904460157,0.2950145870405243,6.9019465891877205,0.0,1.368,5.276674416666666,0.3416341252514487,0.019278045729687943,2.2718301168881445,0.0,0.854,2.814788643333333,-0.05147130637517104,1.768985795920913,1.6449190861559118,0.0,0.9119999999999999,1.0207123733333334,-0.7366774861439196,2.2563884142430544,1.0049013483919702,0.329,1.232,21.137226440000003,2.4172285416694805,5.517293555436543,5.003001247251493,0.169,3.396,22.708131073333334,-0.1765086532307674,-0.28088176945565024,4.807525022295776,-0.333,4.681,10.505365439999999,0.8991452698892082,-0.46479796376394766,3.4778145781510554,0.0,0.309,2.1638439600000003,-0.2998010541335285,-0.23791803428268965,1.442688615051772,0.0,0.388,1.2065348933333333,-0.5370127591357805,0.3300568264710413,1.076246142850231,0.0,1.2570000000000001,3.4020458733333325,-0.08473840382703256,-0.2087836177305964,1.8074998423236446,4
